,cascade_depth,cascade_expansion_degree_average,cascade_expansion_degree_max,cascade_expansion_degree_median,cascade_expansion_degree_min,cascade_size,cascade_speed,cascade_speed_average,cascade_speed_first_level,cascade_speed_max,cascade_speed_median,cascade_speed_min,cascade_speed_peak_level_first,cascade_speed_peak_level_last,cascade_speed_slot1_average,cascade_speed_slot2_average,cascade_speed_slot3_average,cascade_speed_slot4_average,cascade_speed_weekdays_average,cascade_speed_weekends_average,cascade_unique_size,level_number_to_peak,level_size_average,level_size_max,level_size_median,level_size_min
5473,0.0410958904109589,0.15,0.07954545454545454,0.05,0.05,0.01727447216890595,0.0012560188419017937,0.9886727833301265,0.000593393927199689,0.9885991817368605,0.9886781526398141,0.9886965513490384,0.00015037219519326223,0.0011006942846149145,0.0,0.0,0.0005578033583208528,0.0,0.0,0.0,0.0425531914893617,0.19595959595959597,0.0597609561752988,0.058823529411764705,0.0,
5474,0.1780821917808219,0.06315789473684211,0.045454545454545456,0.05,0.05,0.046065259117082535,0.011658119093487684,0.9886950553981267,0.00048761202711391783,0.9887009009346549,0.9886834829035983,0.9886958442883147,2.6959978426529223e-05,0.0009293989509481372,0.0,0.0,0.0005747894840717634,0.0043682936654103255,0.0,0.0,0.03723404255319149,0.07535353535353537,0.03130335799658509,0.029411764705882353,0.0,
5475,0.0547945205479452,0.095,0.06818181818181818,0.075,0.05,0.036468330134357005,0.006342593986873752,0.9886727366566719,0.00013452549031660002,0.9886496430663783,0.9886733616465937,0.9886962038107165,0.00011387675365913107,0.006718042461348618,0.0,0.0,0.0008494095511919214,0.0019549038953844845,0.0,0.0,0.05319148936170213,0.19595959595959597,0.1195219123505976,0.049019607843137254,0.2631578947368421,
5476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5477,0.0136986301369863,0.1,0.022727272727272728,0.1,0.1,0.003838771593090211,0.0011546590993361098,0.9886775900652373,0.0011212058203643603,0.9885996124858488,0.9886829903067441,0.98870596011337,0.0010194713470652692,0.001223008894117463,0.0,0.0,0.001121240120591366,0.0,0.0,0.0,0.010638297872340425,0.6649831649831649,0.0199203187250996,0.00980392156862745,0.02631578947368421,
5478,0.0136986301369863,0.05,0.011363636363636364,0.05,0.05,0.0019193857965451055,9.494784830753518e-05,0.9886686350691605,0.00010056826558089526,0.9885897222872599,0.9886740352617542,0.9886979402408436,0.00010056826558089526,0.00010056826558089526,0.0,0.0,0.00010056826558089526,0.0,0.0,0.0,0.005319148936170213,1.0,0.0,0.0,0.0,
5479,0.0410958904109589,0.0875,0.045454545454545456,0.05,0.05,0.013435700575815739,0.0017337373474382053,0.9886754954362775,0.0007278508170622775,0.9886059160526705,0.9886827878437604,0.9886973946498302,1.5572303060616115e-05,0.0018363655534345056,0.0,0.0,0.0008711014276234683,0.0,0.0,0.0,0.03723404255319149,0.24621212121212122,0.0398406374501992,0.029411764705882353,0.02631578947368421,
5480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5482,0.1780821917808219,0.07461538461538461,0.13636363636363635,0.05,0.05,0.18618042226487524,0.018823054710621172,0.9886906138512629,0.0009091618170147373,0.9887736590427031,0.9886864536221434,0.9886987261441993,9.782424742043428e-05,0.004358598446076236,0.03263770393995611,9.927930559373524e-05,0.0005803308339554018,0.0014194270105309158,0.0,0.0,0.18617021276595744,0.02571634714491857,0.2390438247011952,0.19607843137254902,0.21052631578947367,
5483,0.1917808219178082,0.09253731343283582,0.23863636363636365,0.05,0.05,0.2380038387715931,0.0392452617558681,0.9886871474011686,0.0007106321031053848,0.9889744908708409,0.9886867481710946,0.9887005912455017,4.04742678667996e-06,0.0025860999153264597,0.001945107725729236,0.0004509698159155415,0.0017318059298288095,0.0017704379220599119,0.0,0.0,0.3882978723404255,0.01103030303030303,0.2921646746347942,0.19607843137254902,0.10526315789473684,
5484,0.0410958904109589,0.05,0.011363636363636364,0.05,0.05,0.005758157389635317,8.749968831069579e-05,0.9886718706748707,2.60681725243794e-05,0.9885933120723873,0.9886771750148152,0.9887009179693687,9.267921336956992e-05,9.267921336956992e-05,0.0,0.0,3.0893071123189976e-05,0.0,0.0,0.0,0.010638297872340425,1.0,0.0,0.0,0.0,
5485,0.0273972602739726,0.1,0.03409090909090909,0.1,0.05,0.007677543186180422,0.0009574447759415365,0.9886776493531392,0.0006084174266282129,0.9886021963491073,0.9886838480938399,0.9887018987717107,8.780858113475167e-05,0.0010141205116523703,0.0,0.0,0.0003053291873962947,0.0,0.0,0.0,0.02127659574468085,0.396969696969697,0.02656042496679947,0.0196078431372549,0.0,
